First 250 users - Sorted by Age → First Name → Last Name

=== MERGE SORT STATISTICS ===
Time: 0.000422600 seconds
Comparisons: 1,667
Writes: 1,994
Auxiliary Memory (max elements): 250
Recursion Depth: 8

=== BUBBLE SORT STATISTICS ===
Time: 0.004879000 seconds
Comparisons: 31,089
Swaps: 16,368
Auxiliary Memory (max elements): 1
Recursion Depth: 0

=== SORTED DATA ===
  Age:  18, First Name: Binh      , Last Name: Vo        
  Age:  18, First Name: Hanh      , Last Name: Vo        
  Age:  18, First Name: Huong     , Last Name: Nguyen    
  Age:  18, First Name: Nhi       , Last Name: Dang      
  Age:  18, First Name: Quynh     , Last Name: Le        
  Age:  18, First Name: Tam       , Last Name: Le        
  Age:  18, First Name: Uyen      , Last Name: Bui       
  Age:  18, First Name: Yen       , Last Name: Hoang     
  Age:  19, First Name: Binh      , Last Name: Vu        
  Age:  19, First Name: Hai       , Last Name: Bui       
  Age:  19, First Name: Thi       , Last Name: Tran      
  Age:  19, First Name: Truong    , Last Name: Phan      
  Age:  20, First Name: Dat       , Last Name: Ho        
  Age:  20, First Name: Dat       , Last Name: Le        
  Age:  20, First Name: Hien      , Last Name: Phan      
  Age:  20, First Name: Hung      , Last Name: Pham      
  Age:  20, First Name: Minh      , Last Name: Le        
  Age:  20, First Name: Tai       , Last Name: Vo        
  Age:  20, First Name: Tho       , Last Name: Ngo       
  Age:  20, First Name: Vinh      , Last Name: Do        
  Age:  21, First Name: Hanh      , Last Name: Ho        
  Age:  21, First Name: Phuc      , Last Name: Pham      
  Age:  21, First Name: Trung     , Last Name: Ho        
  Age:  22, First Name: Hung      , Last Name: Vu        
  Age:  22, First Name: Uyen      , Last Name: Ho        
  Age:  23, First Name: Cuong     , Last Name: Dang      
  Age:  23, First Name: Huong     , Last Name: Vu        
  Age:  23, First Name: Khanh     , Last Name: Vu        
  Age:  23, First Name: Lan       , Last Name: Do        
  Age:  23, First Name: Nga       , Last Name: Vo        
  Age:  23, First Name: San       , Last Name: Hoang     
  Age:  23, First Name: Tam       , Last Name: Vu        
  Age:  23, First Name: Thu       , Last Name: Pham      
  Age:  23, First Name: Xuan      , Last Name: Bui       
  Age:  24, First Name: My        , Last Name: Hoang     
  Age:  24, First Name: Tai       , Last Name: Le        
  Age:  24, First Name: Tuyen     , Last Name: Bui       
  Age:  24, First Name: Tuyen     , Last Name: Do        
  Age:  25, First Name: Chau      , Last Name: Hoang     
  Age:  25, First Name: Cuong     , Last Name: Vu        
  Age:  25, First Name: Phuong    , Last Name: Hoang     
  Age:  25, First Name: Viet      , Last Name: Ho        
  Age:  26, First Name: Thi       , Last Name: Bui       
  Age:  26, First Name: Thu       , Last Name: Tran      
  Age:  27, First Name: Quynh     , Last Name: Phan      
  Age:  28, First Name: Huong     , Last Name: Dang      
  Age:  28, First Name: Thanh     , Last Name: Vu        
  Age:  28, First Name: Trinh     , Last Name: Dang      
  Age:  28, First Name: Xuan      , Last Name: Vo        
  Age:  29, First Name: Cuong     , Last Name: Le        
  Age:  29, First Name: Giang     , Last Name: Ngo       
  Age:  29, First Name: Khanh     , Last Name: Ho        
  Age:  29, First Name: Long      , Last Name: Vo        
  Age:  29, First Name: Thi       , Last Name: Pham      
  Age:  29, First Name: Tu        , Last Name: Dang      
  Age:  29, First Name: Tu        , Last Name: Hoang     
  Age:  29, First Name: Uyen      , Last Name: Tran      
  Age:  30, First Name: Hung      , Last Name: Duong     
  Age:  30, First Name: Khoa      , Last Name: Tran      
  Age:  30, First Name: Loc       , Last Name: Ly        
  Age:  30, First Name: Loc       , Last Name: Ngo       
  Age:  30, First Name: Son       , Last Name: Bui       
  Age:  30, First Name: Tin       , Last Name: Bui       
  Age:  31, First Name: Mai       , Last Name: Nguyen    
  Age:  31, First Name: Thu       , Last Name: Nguyen    
  Age:  32, First Name: An        , Last Name: Vo        
  Age:  32, First Name: Cuong     , Last Name: Le        
  Age:  32, First Name: Dung      , Last Name: Ly        
  Age:  32, First Name: Nam       , Last Name: Nguyen    
  Age:  33, First Name: Dung      , Last Name: Phan      
  Age:  33, First Name: Nhan      , Last Name: Vo        
  Age:  33, First Name: Vinh      , Last Name: Nguyen    
  Age:  33, First Name: Vy        , Last Name: Phan      
  Age:  34, First Name: An        , Last Name: Hoang     
  Age:  34, First Name: My        , Last Name: Hoang     
  Age:  34, First Name: Thao      , Last Name: Ho        
  Age:  35, First Name: Duc       , Last Name: Ho        
  Age:  35, First Name: Gia       , Last Name: Vo        
  Age:  35, First Name: Hanh      , Last Name: Nguyen    
  Age:  35, First Name: Khanh     , Last Name: Pham      
  Age:  35, First Name: Nga       , Last Name: Bui       
  Age:  35, First Name: Quang     , Last Name: Bui       
  Age:  35, First Name: San       , Last Name: Vo        
  Age:  35, First Name: Van       , Last Name: Ly        
  Age:  36, First Name: Hoang     , Last Name: Pham      
  Age:  36, First Name: Son       , Last Name: Ho        
  Age:  36, First Name: Thuy      , Last Name: Duong     
  Age:  36, First Name: Tuyen     , Last Name: Ho        
  Age:  37, First Name: Dat       , Last Name: Le        
  Age:  37, First Name: My        , Last Name: Hoang     
  Age:  37, First Name: Quynh     , Last Name: Do        
  Age:  37, First Name: Xuan      , Last Name: Ly        
  Age:  38, First Name: Nhi       , Last Name: Le        
  Age:  38, First Name: Uyen      , Last Name: Phan      
  Age:  38, First Name: Van       , Last Name: Ngo       
  Age:  38, First Name: Vinh      , Last Name: Ho        
  Age:  38, First Name: Yen       , Last Name: Bui       
  Age:  39, First Name: Thi       , Last Name: Hoang     
  Age:  39, First Name: Van       , Last Name: Vu        
  Age:  40, First Name: Giang     , Last Name: Duong     
  Age:  40, First Name: Khanh     , Last Name: Phan      
  Age:  40, First Name: Loc       , Last Name: Bui       
  Age:  40, First Name: My        , Last Name: Duong     
  Age:  40, First Name: Nga       , Last Name: Tran      
  Age:  40, First Name: Thuy      , Last Name: Vo        
  Age:  40, First Name: Trang     , Last Name: Ngo       
  Age:  40, First Name: Van       , Last Name: Dang      
  Age:  41, First Name: Hoa       , Last Name: Vu        
  Age:  41, First Name: Lan       , Last Name: Tran      
  Age:  41, First Name: Mai       , Last Name: Ho        
  Age:  41, First Name: Nhi       , Last Name: Bui       
  Age:  41, First Name: Thao      , Last Name: Hoang     
  Age:  42, First Name: Binh      , Last Name: Ngo       
  Age:  42, First Name: Hai       , Last Name: Do        
  Age:  42, First Name: Hoa       , Last Name: Bui       
  Age:  42, First Name: Linh      , Last Name: Bui       
  Age:  42, First Name: Nam       , Last Name: Phan      
  Age:  42, First Name: Nhi       , Last Name: Ho        
  Age:  42, First Name: Son       , Last Name: Phan      
  Age:  42, First Name: Thanh     , Last Name: Vu        
  Age:  42, First Name: Van       , Last Name: Ly        
  Age:  42, First Name: Viet      , Last Name: Hoang     
  Age:  43, First Name: Kim       , Last Name: Bui       
  Age:  43, First Name: Mai       , Last Name: Bui       
  Age:  43, First Name: Quang     , Last Name: Hoang     
  Age:  43, First Name: Thanh     , Last Name: Bui       
  Age:  43, First Name: Trang     , Last Name: Do        
  Age:  43, First Name: Viet      , Last Name: Ho        
  Age:  43, First Name: Vy        , Last Name: Pham      
  Age:  44, First Name: Duc       , Last Name: Ngo       
  Age:  44, First Name: Hoang     , Last Name: Ho        
  Age:  44, First Name: Kim       , Last Name: Le        
  Age:  44, First Name: Quan      , Last Name: Bui       
  Age:  44, First Name: Quang     , Last Name: Pham      
  Age:  44, First Name: Son       , Last Name: Hoang     
  Age:  44, First Name: Tai       , Last Name: Vo        
  Age:  44, First Name: Thien     , Last Name: Ho        
  Age:  44, First Name: Trung     , Last Name: Phan      
  Age:  44, First Name: Van       , Last Name: Ho        
  Age:  45, First Name: Kim       , Last Name: Ly        
  Age:  45, First Name: Lan       , Last Name: Bui       
  Age:  45, First Name: Nhan      , Last Name: Bui       
  Age:  46, First Name: An        , Last Name: Phan      
  Age:  46, First Name: Chau      , Last Name: Vo        
  Age:  46, First Name: Giang     , Last Name: Bui       
  Age:  46, First Name: Hai       , Last Name: Duong     
  Age:  46, First Name: Lan       , Last Name: Vu        
  Age:  46, First Name: Nhan      , Last Name: Phan      
  Age:  46, First Name: Phuong    , Last Name: Tran      
  Age:  46, First Name: Tu        , Last Name: Phan      
  Age:  46, First Name: Tuyen     , Last Name: Phan      
  Age:  46, First Name: Vy        , Last Name: Bui       
  Age:  47, First Name: Dat       , Last Name: Le        
  Age:  47, First Name: Quan      , Last Name: Ngo       
  Age:  48, First Name: Binh      , Last Name: Do        
  Age:  48, First Name: Hoa       , Last Name: Pham      
  Age:  48, First Name: Minh      , Last Name: Le        
  Age:  48, First Name: Phuong    , Last Name: Phan      
  Age:  48, First Name: San       , Last Name: Ho        
  Age:  48, First Name: Tam       , Last Name: Vo        
  Age:  49, First Name: Cuong     , Last Name: Duong     
